1748,1730,1678,1701,1668,1691,1728,1756,1842,1882,1896,1900,1829,1867,1840,1858,1878,1864,2025,2026,2036,2013,1938,2001,1904,1944,1956,1880,2063,2060,2079,2060,1984,2023,1970,1977,1984,1840,2054,2081,2072,2038,2037,2060,2025,2029,2011,1975,2060,2098,2130,2119,1990,2072,2001,2010,2026,1972,2039,2110,2144,2144,2072,2083,2030,1802,1999,2011,2081,2201,2224,2209,2041,2144,2111,2109,2096,2032,1945,2076,2125,2104,2051,2048,1992,1996,1995,1924,1978,2021,2129,2076,2076,2054,2036,2044,2042,2012,2020,2019
2130,2119,1990,2072,2001,2010,2026,1972,2039,2110,2144,2144,2072,2083,2030,1802,1999,2011,2081,2201,2224,2209,2041,2144,2111,2109,2096,2032,1945,2076,2125,2104,2051,2048,1992,1996,1995,1924,1978,2021,2129,2076,2076,2054,2036,2044,2042,2012,2020,2019,2144,2144,2072,2096,2021,2038,2001,1960,1992,1949,2096,2144,2096,2104,1885,1833,2027,2079,2145,2008,2182,2213,2144,2125,2048,2022,2037,1956,1973,1922,2049,2144,2079,2096,2076,2032,2019,1976,2010,1976,2045,2150,2115,2144,2081,2076,2048,1994,2020,2008
2144,2144,2072,2096,2021,2038,2001,1960,1992,1949,2096,2144,2096,2104,1885,1833,2027,2079,2145,2008,2182,2213,2144,2125,2048,2022,2037,1956,1973,1922,2049,2144,2079,2096,2076,2032,2019,1976,2010,1976,2045,2150,2115,2144,2081,2076,2048,1994,2020,2008,2009,2172,2131,2165,2124,2048,2002,1994,2076,2124,2108,2316,2346,2312,2176,1968,2576,2691,2632,2416,2202,2152,2062,2008,1902,1915,1891,1806,1836,1757,1778,1840,1880,1852,2340,2656,2611,2384,2242,1958,1992,1968,2016,2027,1920,1853,1801,1717,1750,1689
2009,2172,2131,2165,2124,2048,2002,1994,2076,2124,2108,2316,2346,2312,2176,1968,2576,2691,2632,2416,2202,2152,2062,2008,1902,1915,1891,1806,1836,1757,1778,1840,1880,1852,2340,2656,2611,2384,2242,1958,1992,1968,2016,2027,1920,1853,1801,1717,1750,1689,1676,1876,2121,2200,2108,2016,1945,1834,1823,1747,1742,1694,1860,1936,1901,1908,1904,1844,1878,1832,1847,1878,1899,1992,2025,1989,2004,1952,1966,1930,1944,1956,1921,2060,2078,2080,2072,2001,2025,2009,2021,2016,1876,2096,2124,2144,2144,2096,2080,2060
1676,1876,2121,2200,2108,2016,1945,1834,1823,1747,1742,1694,1860,1936,1901,1908,1904,1844,1878,1832,1847,1878,1899,1992,2025,1989,2004,1952,1966,1930,1944,1956,1921,2060,2078,2080,2072,2001,2025,2009,2021,2016,1876,2096,2124,2144,2144,2096,2080,2060,2032,2048,1908,2117,2144,2168,2160,2096,2055,2037,2037,2072,2030,2096,2160,1978,2144,2182,2217,2160,2164,2124,2054,2060,2144,2160,2227,2168,2180,2105,2083,2084,2000,1958,2104,2115,2152,2096,2083,2026,2041,2040,2005,1918,2104,2183,2185,2115,2125,2072
2032,2048,1908,2117,2144,2168,2160,2096,2055,2037,2037,2072,2030,2096,2160,1978,2144,2182,2217,2160,2164,2124,2054,2060,2144,2160,2227,2168,2180,2105,2083,2084,2000,1958,2104,2115,2152,2096,2083,2026,2041,2040,2005,1918,2104,2183,2185,2115,2125,2072,2072,2079,2010,2035,2096,2192,2188,2127,2144,2076,2063,2051,2008,2005,2047,2168,2189,2144,2144,2072,2048,2063,2000,2034,2001,2130,2168,2144,2144,2048,2078,2072,2018,2043,1956,2144,2164,2153,2192,2096,2104,2051,2036,2025,2010,2144,2217,2160,2149,2104
2072,2079,2010,2035,2096,2192,2188,2127,2144,2076,2063,2051,2008,2005,2047,2168,2189,2144,2144,2072,2048,2063,2000,2034,2001,2130,2168,2144,2144,2048,2078,2072,2018,2043,1956,2144,2164,2153,2192,2096,2104,2051,2036,2025,2010,2144,2217,2160,2149,2104,2096,2080,2041,2072,1995,2055,2172,2144,2148,2040,2072,2072,1988,2017,1979,1773,2096,2180,2228,2172,2144,2109,2034,2669,2734,2556,2566,2400,2280,1993,2060,2031,2048,1912,2200,2228,2260,2120,2208,2401,2602,2486,2228,2072,1854,1757,1724,1721,1746,1678
2096,2080,2041,2072,1995,2055,2172,2144,2148,2040,2072,2072,1988,2017,1979,1773,2096,2180,2228,2172,2144,2109,2034,2669,2734,2556,2566,2400,2280,1993,2060,2031,2048,1912,2200,2228,2260,2120,2208,2401,2602,2486,2228,2072,1854,1757,1724,1721,1746,1678,1666,1654,1599,1624,1608,1639,1658,1760,1851,1812,1808,1830,1776,1824,1770,1915,1889,2012,2072,2010,1966,1944,1778,1992,1901,2060,2054,2099,2150,2072,1960,1973,1877,1876,1824,1757,2340,2528,2635,2480,2307,2160,1976,1908,1809,1770,1771,1710,1872,1859
1666,1654,1599,1624,1608,1639,1658,1760,1851,1812,1808,1830,1776,1824,1770,1915,1889,2012,2072,2010,1966,1944,1778,1992,1901,2060,2054,2099,2150,2072,1960,1973,1877,1876,1824,1757,2340,2528,2635,2480,2307,2160,1976,1908,1809,1770,1771,1710,1872,1859,1872,1884,1827,1860,1838,1837,1874,1762,1956,2006,1888,2304,2572,2608,2450,2083,2152,2021,2128,2115,2062,2033,1944,1926,1879,1856,1891,1861,1912,2005,2048,2096,2012,2008,2035,2096,2104,2046,2083,2189,2192,2214,2160,2161,2131,2096,2144,2096,2076,2227
1872,1884,1827,1860,1838,1837,1874,1762,1956,2006,1888,2304,2572,2608,2450,2083,2152,2021,2128,2115,2062,2033,1944,1926,1879,1856,1891,1861,1912,2005,2048,2096,2012,2008,2035,2096,2104,2046,2083,2189,2192,2214,2160,2161,2131,2096,2144,2096,2076,2227,2304,2285,2224,2224,2176,2155,2164,2133,2065,2212,2253,2303,2224,2205,2172,2148,2152,2108,2150,2160,2226,2240,2179,2161,2106,2076,2096,2038,2043,2030,2144,2179,2109,2105,2032,1976,2020,1957,1970,1909,2060,2118,2051,2055,1972,1948,1950,1862,1924,1884
