347 775 951 1202 1288 1294 1280 1248 1249 1252 1278 1324 1376 1408 1562 1653 1728 1780 1832 1893 1940 2010 2074 2102 2170 2278 2417 2476 2531 2560 2598 2644 2688 2672 2820 2912 2954 2986 3014 3048 3076 3080 3084 2952 3081 3080 3085 3077 3083 3085 3084 3080 3082 2948 3080 3080 3077 3086 3084 3084 3080 3084 3080 3056 3085 3085 3082 3086 3088 3084 3077 3085 3080 3082 3080 3080 3080 3084 3053 3085 3085 3084 3077 3084 3082 3084 3084 3042 3080 3052 3080 3084 3016 3082 3058 3093 3086 3086 3084 2758
3084 3080 3082 2948 3080 3080 3077 3086 3084 3084 3080 3084 3080 3056 3085 3085 3082 3086 3088 3084 3077 3085 3080 3082 3080 3080 3080 3084 3053 3085 3085 3084 3077 3084 3082 3084 3084 3042 3080 3052 3080 3084 3016 3082 3058 3093 3086 3086 3084 2758 3084 3085 3080 3084 3052 3080 3084 3031 3103 3085 3082 3076 3080 3083 3075 2912 3072 3085 3076 3048 3022 2997 2970 2944 2868 2738 2916 2970 2964 2909 2850 2810 2748 2700 2656 2500 2647 2677 2664 2613 2568 2522 2470 2437 2400 2364 2328 2384 2388 2368
3084 3085 3080 3084 3052 3080 3084 3031 3103 3085 3082 3076 3080 3083 3075 2912 3072 3085 3076 3048 3022 2997 2970 2944 2868 2738 2916 2970 2964 2909 2850 2810 2748 2700 2656 2500 2647 2677 2664 2613 2568 2522 2470 2437 2400 2364 2328 2384 2388 2368 2322 2288 2248 2212 2188 2153 2100 2165 2192 2166 2128 2105 2066 2048 2016 1994 1896 2012 2048 2036 2008 1981 1948 1913 1888 1862 1750 1859 1905 1900 1864 1849 1810 1796 1766 1750 1747 1697 1789 1807 1790 1770 1740 1717 1710 1682 1712 1628 1714 1292
2322 2288 2248 2212 2188 2153 2100 2165 2192 2166 2128 2105 2066 2048 2016 1994 1896 2012 2048 2036 2008 1981 1948 1913 1888 1862 1750 1859 1905 1900 1864 1849 1810 1796 1766 1750 1747 1697 1789 1807 1790 1770 1740 1717 1710 1682 1712 1628 1714 1292 1586 1858 1940 1944 1896 1812 1754 1602 1582 1582 1672 1700 1684 1652 1624 1592 1568 1449 1561 1616 1612 1612 1585 1572 1459 1488 1573 1488 1624 1602 1692 1760 1760 1740 1697 1660 1638 1512 1516 1684 1760 1769 1740 1708 1679 1643 1589 1674 1641 1649
1586 1858 1940 1944 1896 1812 1754 1602 1582 1582 1672 1700 1684 1652 1624 1592 1568 1449 1561 1616 1612 1612 1585 1572 1459 1488 1573 1488 1624 1602 1692 1760 1760 1740 1697 1660 1638 1512 1516 1684 1760 1769 1740 1708 1679 1643 1589 1674 1641 1649 1869 1944 1900 1844 1771 1706 1666 1634 1520 1587 1642 1800 1852 1833 1792 1729 1703 1660 1524 1628 1688 1720 1702 1700 1680 1664 1662 1650 1694 1632 1729 1772 1784 1780 1780 1761 1764 1762 1764 1696 1811 1878 1883 1886 1870 1846 1846 1833 1844 1284
1869 1944 1900 1844 1771 1706 1666 1634 1520 1587 1642 1800 1852 1833 1792 1729 1703 1660 1524 1628 1688 1720 1702 1700 1680 1664 1662 1650 1694 1632 1729 1772 1784 1780 1780 1761 1764 1762 1764 1696 1811 1878 1883 1886 1870 1846 1846 1833 1844 1284 1716 2060 2194 2200 2154 2076 2002 1934 1884 1820 1784 1728 1881 1958 1977 1947 1932 1896 1878 1836 1814 1892 1898 1906 1792 1824 1877 1905 1910 1914 1856 1957 1994 1991 1986 1960 1952 1933 1940 1932 1842 1976 2020 2041 2029 2014 2002 1996 1990 1989
1716 2060 2194 2200 2154 2076 2002 1934 1884 1820 1784 1728 1881 1958 1977 1947 1932 1896 1878 1836 1814 1892 1898 1906 1792 1824 1877 1905 1910 1914 1856 1957 1994 1991 1986 1960 1952 1933 1940 1932 1842 1976 2020 2041 2029 2014 2002 1996 1990 1989 1874 2008 2077 2094 2092 2068 2060 2040 2026 2025 1944 2005 2080 2112 2102 2088 2067 2048 2048 2033 2032 1968 2082 2130 2152 2133 2113 2100 2084 2060 2036 1960 2096 2176 2184 2172 2160 2130 2120 2096 2082 1964 2096 2154 2164 2150 2132 2109 2096 1596
1874 2008 2077 2094 2092 2068 2060 2040 2026 2025 1944 2005 2080 2112 2102 2088 2067 2048 2048 2033 2032 1968 2082 2130 2152 2133 2113 2100 2084 2060 2036 1960 2096 2176 2184 2172 2160 2130 2120 2096 2082 1964 2096 2154 2164 2150 2132 2109 2096 1596 1802 2200 2378 2506 2488 2402 2310 2208 2138 2070 2018 1988 1889 2003 2040 2048 2036 2021 2012 2012 1996 1992 1926 2052 2048 2048 2122 2139 2148 2124 2096 2088 1958 2084 2132 2139 2121 2104 2085 2070 2060 2054 2076 2025 2128 2152 2158 2136 2124 2116
1802 2200 2378 2506 2488 2402 2310 2208 2138 2070 2018 1988 1889 2003 2040 2048 2036 2021 2012 2012 1996 1992 1926 2052 2048 2048 2122 2139 2148 2124 2096 2088 1958 2084 2132 2139 2121 2104 2085 2070 2060 2054 2076 2025 2128 2152 2158 2136 2124 2116 2097 2094 2124 2056 2148 2176 2176 2154 2139 2120 2108 2098 2083 1995 2124 2163 2177 2160 2144 2115 2100 2098 2081 2072 2049 2064 2109 2246 2196 2256 2298 2289 2315 2256 2170 2306 2336 2518 2498 2346 2248 2040 2108 2052 2004 2020 1942 1938 1796 1384
2097 2094 2124 2056 2148 2176 2176 2154 2139 2120 2108 2098 2083 1995 2124 2163 2177 2160 2144 2115 2100 2098 2081 2072 2049 2064 2109 2246 2196 2256 2298 2289 2315 2256 2170 2306 2336 2518 2498 2346 2248 2040 2108 2052 2004 2020 1942 1938 1796 1384 1716 1844 1812 2010 2153 2296 2258 2126 1980 1856 1744 1666 1604 1574 1472 1594 1667 1678 1701 1704 1708 1728 1733 1761 1656 1736 1916 1985 2004 1992 1952 2059 2032 2156 2160 2372 2512 2449 2334 2208 2082 2005 1928 1892 1866 1764 1896 1942 1970 1968
